"","id","Year","Gender (MW)","Race/Ethnicity","State Groups","Admit Date","Admit Date (group)","Acad Rating","Origin Group","Orientation","High School Type","Campus Visit","Open House Status","Fin Aid App","FAFSA Date","Enrolled","Career Objective","Diversity","Honors","PresidentialMerit"
"39",102686,2018,"Women","Black/Af. Amer.","In-State","11/6/2017","Before January",5,"Search","None","Public","Did not Visit","None","by Apr 30","12/14/2017",0,"Unknown/Deciding",1,0,0
"40",102707,2017,"Men","White","In-State","9/26/2016","Before January",2,"Application","3rd","Public","Orientation","None","by Apr 30","1/8/2017",0,"Natural Resources and Conservation",0,0,0
"41",102730,2019,"Men","White","Out-of-State","11/21/2018","Before January",4,"Search","None","Public","Other Visit","None","by Apr 30","10/2/2018",0,"Security and Protective Services",0,0,0
"42",102896,2021,"Women","White","In-State","1/6/2021","January",2,"Common App Suspect/Prospect","None","Public","Other Visit","None","by Apr 30","10/25/2020",0,"Health Professions and Related Clinical Sciences",0,0,0
"43",102961,2017,"Men","White","In-State","1/6/2017","January",3,"Campus Visit","None","Public","Other Visit","None","by Apr 30","11/14/2016",0,"Communication, Journalism, and Related Programs",0,0,0
"44",102967,2018,"Men","White","Out-of-State","1/8/2018","January",4,"Application","None","Public","Did not Visit","None","by Apr 30","1/16/2018",0,"Security and Protective Services",0,0,0
"45",103023,2020,"Men","White","Out-of-State","11/12/2019","Before January",1,"Application","Virtual","Public","Orientation","None","by Apr 30","10/2/2019",1,"Unknown/Deciding",0,1,0
"46",103070,2021,"Men","White","Out-of-State","11/3/2020","Before January",5,"Private Institutions","None","Public","Did not Visit","None","by Apr 30","10/16/2020",0,"Unknown/Deciding",0,0,0
"47",103080,2020,"Women","White","In-State","3/16/2020","March",4,"Application","Virtual","Private","Orientation","None","by Apr 30","3/20/2020",1,"Social Sciences",0,0,0
"48",103230,2019,"Men","White","Out-of-State","10/4/2018","Before January",1,"Application","2nd","Public","Orientation","None","by Apr 30","10/28/2018",1,"Natural Resources and Conservation",0,0,0
"49",103318,2019,"Women","White","In-State","10/30/2018","Before January",2,"Application","None","Public","Did not Visit","None","by Apr 30","10/8/2018",0,"Parks, Recreation, Leisure, and Fitness Studies",0,0,0
"50",103392,2021,"Men","Black/Af. Amer.","In-State","12/14/2020","Before January",6,"Application","None","Public","Other Visit","None","by Apr 30","10/22/2020",0,"Education",0,0,0
"51",103595,2020,"Women","White","In-State","4/27/2020","April",4,"Campus Visit","None","Public","Other Visit","None","None","1/1/2050",0,"Family and Consumer Sciences/Human Sciences",0,0,0
"52",103670,2019,"Men","White","In-State","12/13/2018","Before January",1,"Web Create Account","None","Public","Other Visit","Fall","by Apr 30","10/20/2018",0,"Business, Management, Marketing, & Related Support Svcs",0,0,0
"53",103798,2019,"Men","White","In-State","1/18/2019","January",5,"Application","2nd","Public","Orientation","None","by Apr 30","10/30/2018",1,"Business, Management, Marketing, & Related Support Svcs",0,0,0
"54",103899,2017,"Men","Hispanic","Out-of-State","9/12/2016","Before January",3,"Application","None","Public","Did not Visit","None","by Apr 30","10/2/2016",0,"Education",1,0,0
"55",104102,2018,"Women","White","Out-of-State","2/23/2018","February",1,"Application","None","Public","Did not Visit","None","None","1/1/2050",0,"Visual and Performing Arts",0,0,0
"56",104123,2018,"Men","Two or More","In-State","2/23/2018","February",5,"High School Visit","None","Public","Did not Visit","None","None","1/1/2050",0,"Visual and Performing Arts",1,0,0
"57",104174,2021,"Women","White","In-State","10/27/2020","Before January",1,"Campus Visit","None","Public","Other Visit","None","by Apr 30","10/4/2020",0,"Unknown/Deciding",0,0,0
"58",104198,2021,"Women","Black/Af. Amer.","In-State","10/16/2020","Before January",4,"Other","None","Public","Other Visit","None","by Apr 30","12/13/2020",0,"Unknown/Deciding",0,0,0
"59",104256,2019,"Men","White","Out-of-State","11/20/2018","Before January",3,"Campus Visit","None","Public","Other Visit","None","by Apr 30","10/3/2018",0,"Computer and Information Sciences and Support Services",0,0,0
"60",104287,2018,"Women","White","In-State","1/25/2018","January",2,"High School Visit","None","Public","Did not Visit","None","by Apr 30","2/21/2018",0,"Health Professions and Related Clinical Sciences",0,0,0
"61",104323,2020,"Women","White","In-State","10/24/2019","Before January",5,"Campus Visit","None","Public","Other Visit","None","by Apr 30","10/16/2019",0,"Business, Management, Marketing, & Related Support Svcs",0,0,0
"62",104377,2017,"Women","White","In-State","10/5/2016","Before January",4,"Internet","None","Private","Other Visit","Early","by Apr 30","10/7/2016",0,"Unknown/Deciding",0,0,0
"63",104448,2019,"Men","White","In-State","11/27/2018","Before January",3,"Other","None","Public","Did not Visit","None","None","1/1/2050",0,"Engineering",0,0,0
"64",104489,2017,"Men","Foreign (Non-Res)","Out-of-State","1/18/2017","January",4,"Application","None","Unknown","Did not Visit","None","None","1/1/2050",0,"Health Professions and Related Clinical Sciences",1,0,0
"65",104702,2020,"Men","White","In-State","11/25/2019","Before January",2,"Search","None","Public","Did not Visit","None","by Apr 30","10/6/2019",0,"Business, Management, Marketing, & Related Support Svcs",0,0,0
"66",104703,2020,"Women","White","In-State","11/15/2019","Before January",5,"Private Institutions","None","Private","Other Visit","None","by Apr 30","10/9/2019",0,"Education",0,0,0
"67",104711,2019,"Women","White","In-State","10/26/2018","Before January",2,"Application","None","Private","Did not Visit","None","by Apr 30","12/11/2018",0,"Social Sciences",0,0,0
"68",104728,2019,"Women","White","In-State","12/5/2018","Before January",3,"Internet","None","Public","Other Visit","None","by Apr 30","10/2/2018",0,"None",0,0,0
"69",104777,2018,"Women","White","Out-of-State","12/7/2017","Before January",4,"College Night","None","Public","Other Visit","None","by Apr 30","11/28/2017",0,"Health Professions and Related Clinical Sciences",0,0,0
"70",104845,2020,"Women","White","In-State","4/22/2020","April",2,"Application","Virtual","Public","Orientation","None","May-Sept","6/30/2020",1,"Unknown/Deciding",0,0,0
"71",104873,2018,"Women","Unknown","Out-of-State","1/11/2018","January",4,"Web Create Account","None","Public","Other Visit","None","by Apr 30","3/20/2018",0,"Health Professions and Related Clinical Sciences",0,0,0
"72",105001,2021,"Men","White","In-State","9/25/2020","Before January",2,"Search","None","Public","Other Visit","None","None","1/1/2050",0,"Business, Management, Marketing, & Related Support Svcs",0,0,0
"73",105212,2017,"Women","Black/Af. Amer.","Out-of-State","12/8/2016","Before January",4,"Private Institutions","None","Public","Did not Visit","None","by Apr 30","10/1/2016",0,"Health Professions and Related Clinical Sciences",1,0,0
"74",105244,2019,"Men","White","In-State","11/13/2018","Before January",3,"Campus Visit","None","Public","Other Visit","None","by Apr 30","10/30/2018",0,"Natural Resources and Conservation",0,0,0
"75",105327,2019,"Men","Black/Af. Amer.","Out-of-State","3/8/2019","March",4,"SAT-ACT","None","Public","Did not Visit","None","None","1/1/2050",0,"Security and Protective Services",1,0,0
"76",105509,2021,"Men","Black/Af. Amer.","In-State","4/9/2021","April",6,"Common App Suspect/Prospect","None","Private","Other Visit","None","by Apr 30","12/26/2020",0,"Security and Protective Services",0,0,0
"77",105544,2018,"Women","White","In-State","10/30/2017","Before January",1,"Internet","None","Public","Did not Visit","None","by Apr 30","2/19/2018",0,"Health Professions and Related Clinical Sciences",0,0,0
"78",105546,2021,"Women","Unknown","In-State","11/10/2020","Before January",4,"Internet","None","Public","Did not Visit","None","None","1/1/2050",0,"Health Professions and Related Clinical Sciences",0,0,0
"79",105616,2018,"Women","Black/Af. Amer.","In-State","1/9/2018","January",4,"Application","3rd","Public","Orientation","None","by Apr 30","4/11/2018",1,"Business, Management, Marketing, & Related Support Svcs",1,0,0
"80",105616,2018,"Women","Black/Af. Amer.","In-State","1/9/2018","January",4,"Application","3rd","Public","Orientation","None","by Apr 30","4/11/2018",1,"Health Professions and Related Clinical Sciences",1,0,0
"81",105702,2021,"Women","Black/Af. Amer.","In-State","10/19/2020","Before January",2,"Common App Suspect/Prospect","None","Public","Did not Visit","None","by Apr 30","10/13/2020",0,"Family and Consumer Sciences/Human Sciences",0,0,0
"82",105720,2018,"Men","Hispanic","In-State","11/8/2017","Before January",2,"Search","None","Public","Did not Visit","None","None","1/1/2050",0,"Engineering",1,0,0
"83",105740,2019,"Women","White","In-State","11/19/2018","Before January",2,"Application","None","Public","Did not Visit","None","by Apr 30","10/25/2018",0,"Health Professions and Related Clinical Sciences",0,0,0
"84",105741,2020,"Women","Unknown","In-State","11/21/2019","Before January",2,"Private Institutions","None","Public","Other Visit","None","by Apr 30","11/12/2019",0,"Unknown/Deciding",0,0,0
"85",105769,2021,"Women","White","In-State","2/17/2021","February",1,"Application","None","Public","Did not Visit","None","None","1/1/2050",0,"Business, Management, Marketing, & Related Support Svcs",0,0,0
"86",105899,2019,"Women","Black/Af. Amer.","In-State","2/12/2019","February",5,"Internet","None","Public","Did not Visit","None","by Apr 30","10/4/2018",0,"Computer and Information Sciences and Support Services",1,0,0
"87",105965,2021,"Women","Black/Af. Amer.","Out-of-State","1/25/2021","January",4,"Application","None","Public","Did not Visit","None","None","1/1/2050",0,"Public Administration and Social Service Professions",0,0,0
"88",106069,2019,"Women","Hispanic","In-State","10/26/2018","Before January",3,"Search","None","Public","Did not Visit","None","None","1/1/2050",0,"Biological and Biomedical Sciences",1,0,0
"89",106162,2017,"Men","White","Out-of-State","11/14/2016","Before January",3,"Other","None","Public","Did not Visit","None","by Apr 30","11/2/2016",0,"Business, Management, Marketing, & Related Support Svcs",0,0,0
"90",106205,2018,"Women","White","In-State","12/12/2017","Before January",4,"Web Create Account","3rd","Public","Orientation","None","by Apr 30","1/18/2018",1,"Legal Professions and Studies",0,0,0
"91",106295,2020,"Men","White","Out-of-State","11/15/2019","Before January",4,"Campus Visit","None","Private","Other Visit","None","by Apr 30","10/20/2019",0,"Unknown/Deciding",0,0,0
"92",106373,2018,"Women","Unknown","In-State","3/12/2018","March",2,"Application","None","Private","Did not Visit","None","by Apr 30","3/15/2018",0,"Legal Professions and Studies",0,0,0
"93",106401,2019,"Men","White","In-State","11/20/2018","Before January",5,"Application","None","Public","Did not Visit","None","by Apr 30","10/28/2018",0,"None",0,0,0
"94",106447,2020,"Women","White","In-State","12/5/2019","Before January",1,"Other","None","Public","Did not Visit","None","None","1/1/2050",0,"Engineering",0,0,0
"95",106479,2021,"Women","White","In-State","11/23/2020","Before January",1,"Common App Suspect/Prospect","None","Public","Did not Visit","None","by Apr 30","11/22/2020",0,"Education",0,0,0
"96",106488,2017,"Women","Foreign (Non-Res)","Out-of-State","4/12/2017","April",4,"Application","None","Private","Did not Visit","None","None","1/1/2050",0,"Visual and Performing Arts",1,0,0
"97",106607,2019,"Women","White","Out-of-State","12/6/2018","Before January",2,"Search","None","Home Schooled","Other Visit","Fall","by Apr 30","1/8/2019",0,"Health Professions and Related Clinical Sciences",0,1,0
"98",106612,2019,"Women","Black/Af. Amer.","In-State","11/13/2018","Before January",1,"Application","None","Public","Did not Visit","None","None","1/1/2050",0,"Health Professions and Related Clinical Sciences",1,0,0
"99",106648,2018,"Women","Hispanic","In-State","10/6/2017","Before January",1,"Private Institutions","None","Public","Did not Visit","None","by Apr 30","11/15/2017",0,"Health Professions and Related Clinical Sciences",1,0,0
"100",106766,2019,"Women","White","In-State","11/26/2018","Before January",3,"Referral","1st","Public","Orientation","None","by Apr 30","12/31/2018",1,"Public Administration and Social Service Professions",0,0,0
"101",106816,2018,"Women","White","Out-of-State","11/15/2017","Before January",3,"SAT-ACT","None","Public","Other Visit","None","by Apr 30","11/7/2017",0,"Health Professions and Related Clinical Sciences",0,0,0
"102",106846,2019,"Men","Asian, Pacific Isl*","In-State","1/24/2019","January",2,"Search","None","Public","Did not Visit","None","None","1/1/2050",0,"Engineering",1,0,0
"103",106972,2017,"Men","White","In-State","11/10/2016","Before January",3,"Search","1st","Public","Orientation","Fall","by Apr 30","11/29/2016",1,"Health Professions and Related Clinical Sciences",0,0,0
"104",107019,2020,"Men","White","Out-of-State","10/30/2019","Before January",1,"SAT-ACT","Virtual","Public","Orientation","None","by Apr 30","10/22/2019",1,"Engineering",0,0,1
"105",107147,2019,"Men","Two or More","In-State","3/8/2019","March",3,"Application","None","Public","Did not Visit","None","None","1/1/2050",0,"None",1,0,0
"106",107172,2018,"Women","Black/Af. Amer.","In-State","11/30/2017","Before January",4,"Application","None","Public","Did not Visit","None","by Apr 30","1/9/2018",0,"Health Professions and Related Clinical Sciences",1,0,0
"107",107205,2021,"Women","Hispanic","Out-of-State","3/1/2021","March",6,"Common App Suspect/Prospect","None","Public","Did not Visit","None","None","1/1/2050",0,"Business, Management, Marketing, & Related Support Svcs",0,0,0
"108",107243,2018,"Women","Two or More","In-State","3/26/2018","March",2,"Application","None","Public","Did not Visit","None","None","1/1/2050",0,"Health Professions and Related Clinical Sciences",1,0,0
"109",107272,2021,"Men","White","In-State","11/24/2020","Before January",2,"Search","None","Public","Other Visit","None","by Apr 30","11/30/2020",0,"Business, Management, Marketing, & Related Support Svcs",0,0,0
"110",107373,2019,"Women","Black/Af. Amer.","Out-of-State","3/6/2019","March",3,"Application","None","Public","Did not Visit","None","None","1/1/2050",0,"Health Professions and Related Clinical Sciences",1,0,0
"111",107443,2020,"Women","Hispanic","In-State","3/10/2020","March",5,"Other","None","Public","Did not Visit","None","by Apr 30","3/31/2020",0,"Unknown/Deciding",0,0,0
"112",107443,2021,"Women","Hispanic","In-State","12/3/2020","Before January",5,"Common App Suspect/Prospect","None","Public","Did not Visit","None","by Apr 30","11/15/2020",0,"Unknown/Deciding",0,0,0
"113",107460,2019,"Women","Black/Af. Amer.","In-State","12/12/2018","Before January",4,"Application","2nd","Public","Orientation","Spring","by Apr 30","10/14/2018",1,"Health Professions and Related Clinical Sciences",1,0,0
"114",107478,2019,"Women","Black/Af. Amer.","In-State","1/8/2019","January",3,"Application","1st","Public","Orientation","None","by Apr 30","2/8/2019",1,"Health Professions and Related Clinical Sciences",1,0,0
"115",107503,2017,"Men","White","Out-of-State","12/8/2016","Before January",1,"Other","None","Private","Other Visit","None","by Apr 30","10/24/2016",0,"Engineering",0,0,0
"116",107620,2019,"Men","Unknown","Out-of-State","11/27/2018","Before January",4,"Application","None","Public","Did not Visit","None","None","1/1/2050",0,"Unknown/Deciding",0,0,0
"117",107687,2018,"Women","Hispanic","Out-of-State","2/26/2018","February",5,"Internet","None","Public","Did not Visit","None","None","1/1/2050",0,"Health Professions and Related Clinical Sciences",1,0,0
"118",107690,2021,"Women","White","Out-of-State","1/26/2021","January",5,"Internet","None","Public","Did not Visit","None","None","1/1/2050",0,"Unknown/Deciding",0,0,0
"119",107807,2021,"Women","Two or More","In-State","12/10/2020","Before January",1,"Application","None","Public","Did not Visit","None","by Apr 30","11/1/2020",0,"Legal Professions and Studies",0,0,0
"120",107851,2019,"Men","White","In-State","11/21/2018","Before January",1,"Referral","None","Public","Other Visit","Early","by Apr 30","12/31/2018",1,"Computer and Information Sciences and Support Services",0,0,1
"121",107891,2017,"Women","White","In-State","3/4/2017","March",4,"Private Institutions","None","Public","Did not Visit","None","None","1/1/2050",0,"Health Professions and Related Clinical Sciences",0,0,0
"122",107892,2017,"Women","White","In-State","1/18/2017","January",2,"Search","None","Public","Did not Visit","None","by Apr 30","12/18/2016",0,"Graduate Studies",0,0,0
"123",108058,2017,"Women","White","Out-of-State","12/7/2016","Before January",1,"Web Create Account","1st","Public","Orientation","None","by Apr 30","10/2/2016",1,"Health Professions and Related Clinical Sciences",0,0,0
"124",108099,2019,"Women","Black/Af. Amer.","In-State","10/4/2018","Before January",5,"Application","None","Public","Did not Visit","None","None","1/1/2050",0,"Legal Professions and Studies",1,0,0
"125",108102,2019,"Women","White","Out-of-State","10/9/2018","Before January",2,"Application","None","Public","Other Visit","None","by Apr 30","10/7/2018",0,"None",0,0,0
"126",108137,2019,"Women","Two or More","Out-of-State","12/11/2018","Before January",5,"Application","None","Public","Did not Visit","None","by Apr 30","12/4/2018",0,"None",1,0,0
"127",108193,2019,"Women","Black/Af. Amer.","In-State","10/31/2018","Before January",5,"Web Create Account","None","Public","Other Visit","None","None","1/1/2050",0,"Health Professions and Related Clinical Sciences",1,0,0
"128",108226,2017,"Women","Black/Af. Amer.","Out-of-State","2/20/2017","February",4,"Private Institutions","None","Public","Did not Visit","None","None","1/1/2050",0,"Visual and Performing Arts",1,0,0
"129",108269,2021,"Men","White","In-State","11/12/2020","Before January",5,"Campus Visit","None","Public","Other Visit","None","by Apr 30","1/25/2021",0,"Architecture and Related Services",0,0,0
"130",108316,2018,"Women","Black/Af. Amer.","In-State","12/20/2017","Before January",4,"Application","None","Public","Did not Visit","None","by Apr 30","3/20/2018",0,"Public Administration and Social Service Professions",1,0,0
"131",108337,2017,"Women","Two or More","In-State","12/21/2016","Before January",3,"Application","None","Public","Did not Visit","None","None","1/1/2050",0,"Legal Professions and Studies",1,0,0
"132",108487,2019,"Women","White","In-State","10/12/2018","Before January",3,"Internet","None","Private","Other Visit","None","by Apr 30","10/1/2018",0,"Health Professions and Related Clinical Sciences",0,0,0
"133",108530,2019,"Women","White","In-State","11/19/2018","Before January",5,"Web Create Account","2nd","Public","Orientation","None","by Apr 30","1/29/2019",1,"Education",0,0,0
"134",108566,2019,"Men","Hispanic","Out-of-State","2/5/2019","February",3,"Application","None","Public","Other Visit","None","by Apr 30","1/28/2019",0,"Health Professions and Related Clinical Sciences",1,0,0
"135",108593,2021,"Men","White","In-State","10/19/2020","Before January",6,"Search","None","Public","Did not Visit","None","by Apr 30","12/13/2020",0,"Unknown/Deciding",0,0,0
"136",108654,2020,"Men","White","In-State","10/23/2019","Before January",4,"Application","Virtual","Private","Orientation","None","by Apr 30","10/12/2019",1,"Communication, Journalism, and Related Programs",0,0,0
"137",108664,2019,"Men","White","Out-of-State","1/3/2019","January",5,"Application","None","Public","Other Visit","None","by Apr 30","1/16/2019",0,"Unknown/Deciding",0,0,0
"138",108789,2020,"Women","Black/Af. Amer.","In-State","2/6/2020","February",1,"Private Institutions","None","Public","Did not Visit","None","None","1/1/2050",0,"Health Professions and Related Clinical Sciences",0,0,0
"139",108805,2018,"Women","Black/Af. Amer.","In-State","11/13/2017","Before January",1,"Application","None","Public","Did not Visit","None","by Apr 30","3/5/2018",0,"Architecture and Related Services",1,0,0
"140",108885,2017,"Women","White","In-State","3/10/2017","March",4,"Application","3rd","Public","Orientation","None","by Apr 30","12/12/2016",1,"Biological and Biomedical Sciences",0,0,0
"141",108940,2019,"Men","Two or More","In-State","11/20/2018","Before January",2,"Application","None","Public","Did not Visit","None","by Apr 30","10/21/2018",0,"Health Professions and Related Clinical Sciences",1,0,0
"142",108964,2021,"Women","White","In-State","1/28/2021","January",1,"Search","Virtual","Public","Orientation","None","by Apr 30","11/1/2020",1,"Business, Management, Marketing, & Related Support Svcs",0,0,0
"143",108991,2020,"Women","Two or More","In-State","12/18/2019","Before January",2,"Other","None","Public","Did not Visit","None","by Apr 30","10/15/2019",0,"Health Professions and Related Clinical Sciences",0,0,0
"144",109030,2021,"Men","Black/Af. Amer.","In-State","2/10/2021","February",1,"Common App Suspect/Prospect","None","Public","Did not Visit","None","None","1/1/2050",0,"Computer and Information Sciences and Support Services",0,0,0
"145",109057,2020,"Men","Two or More","In-State","2/7/2020","February",4,"Campus Visit","None","Public","Other Visit","None","by Apr 30","10/17/2019",0,"Security and Protective Services",0,0,0
"146",109106,2020,"Men","White","Out-of-State","2/14/2020","February",5,"Search","Virtual","Private","Orientation","None","by Apr 30","10/20/2019",1,"Unknown/Deciding",0,0,0
"147",109374,2019,"Women","Black/Af. Amer.","Out-of-State","4/16/2019","April",5,"Application","1st","Public","Orientation","None","by Apr 30","1/10/2019",0,"Health Professions and Related Clinical Sciences",1,0,0
"148",109524,2019,"Women","White","Out-of-State","11/19/2018","Before January",1,"Internet","None","Private","Other Visit","None","by Apr 30","10/25/2018",0,"Health Professions and Related Clinical Sciences",0,0,0
"149",109550,2019,"Men","Two or More","Out-of-State","10/26/2018","Before January",4,"Application","None","Public","Did not Visit","None","by Apr 30","10/8/2018",0,"None",1,0,0
"150",109644,2018,"Women","Unknown","Out-of-State","9/8/2017","Before January",3,"Search","None","Public","Did not Visit","None","None","1/1/2050",0,"Health Professions and Related Clinical Sciences",0,0,0
"151",109646,2020,"Women","Foreign (Non-Res)","Out-of-State","2/25/2020","February",3,"Application","None","Foreign","Did not Visit","None","None","1/1/2050",0,"Business, Management, Marketing, & Related Support Svcs",0,0,0
"152",109676,2018,"Women","White","Out-of-State","10/25/2017","Before January",1,"Private Institutions","None","Public","Did not Visit","None","None","1/1/2050",0,"Health Professions and Related Clinical Sciences",0,0,0
"153",109733,2019,"Women","Black/Af. Amer.","Out-of-State","3/11/2019","March",3,"Search","None","Public","Did not Visit","None","by Apr 30","10/20/2018",0,"Education",1,0,0
